element,level,wavelength,intensity
H,1,365.665,700.0
H,1,365.725,700.0
H,1,365.804,700.0
H,1,365.865,700.0
H,1,365.941,700.0
H,1,366.032,700.0
H,1,366.127,800.0
H,1,366.222,1100.0
H,1,366.341,900.0
H,1,366.465,1000.0
H,1,366.608,900.0
H,1,366.773,1000.0
H,1,366.945,1300.0
H,1,367.132,1200.0
H,1,367.381,1300.0
H,1,367.6376,1400.0
H,1,367.937,1700.0
H,1,368.2823,1700.0
H,1,368.6831,2000.0
H,1,369.1551,2300.0
H,1,369.7157,2300.0
H,1,370.3859,2800.0
H,1,371.1978,3300.0
H,1,372.1946,5000.0
H,1,373.4369,6000.0
H,1,375.0151,8000.0
H,1,377.0633,9000.0
H,1,379.7909,17000.0
H,1,383.5397,30000.0
H,1,388.9064,70000.0
H,1,397.0075,30000.0
H,1,410.1734,70000.0
H,1,434.0472,90000.0
H,1,486.135,180000.0
H,1,656.279,500000.0
H,1,824.999,90.0
H,1,825.229,90.0
H,1,825.499,90.0
H,1,825.789,110.0
H,1,826.089,110.0
H,1,826.428,110.0
H,1,826.794,110.0
H,1,827.194,140.0
H,1,827.632,140.0
H,1,828.113,140.0
H,1,828.642,140.0
H,1,829.23,170.0
H,1,829.883,210.0
H,1,830.61,250.0
H,1,831.426,290.0
H,1,832.342,290.0
H,1,833.378,370.0
H,1,834.554,500.0
H,1,835.9,500.0
H,1,837.448,600.0
H,1,839.24,700.0
H,1,841.332,700.0
H,1,843.795,700.0
H,1,846.726,700.0
H,1,850.249,1200.0
H,1,854.538,1400.0
H,1,859.839,2300.0
H,1,866.502,2200.0
H,1,875.046,2200.0
H,1,886.289,3600.0
H,1,901.53,4800.0
H,1,922.97,6500.0
H,1,954.62,9000.0
H,1,1004.98,13000.0
H,1,1093.817,14000.0
H,1,1281.8072,32000.0
H,1,1555.621,800.0
H,1,1640.688,1400.0
H,1,1680.651,1600.0
H,1,1736.2143,3100.0
H,1,1817.424,2800.0
H,1,1875.13,51000.0
He,1,257.76,50.0
He,1,267.7135,1.0
He,1,269.6119,1.0
He,1,272.3191,1.0
He,1,281.82,10.0
He,1,294.5106,10.0
He,1,301.37,40.0
He,1,318.7745,20.0
He,1,325.8275,1.0
He,1,355.4415,1.0
He,1,358.727,1.0
He,1,361.3643,3.0
He,1,365.199,1.0
He,1,370.5005,3.0
He,1,381.96074,10.0
He,1,387.1791,1.0
He,1,388.8648,500.0
He,1,396.47291,20.0
He,1,402.3973,1.0
He,1,402.61914,50.0
He,1,412.08154,12.0
He,1,414.3761,3.0
He,1,416.8967,1.0
He,1,438.79296,10.0
He,1,443.7551,3.0
He,1,447.14802,200.0
He,1,471.31457,30.0
He,1,492.19313,20.0
He,1,501.56783,100.0
He,1,504.7738,10.0
He,1,587.5621,500.0
He,1,667.8151,100.0
He,1,706.519,200.0
He,1,706.571,30.0
He,1,728.1349,50.0
He,1,921.0337,2.0
He,1,952.617,3.0
He,1,952.927,1.0
He,1,1002.773,6.0
He,1,1003.116,2.0
He,1,1091.292,12.0
He,1,1091.305,9.0
He,1,1091.71,3.0
He,1,1196.912,30.0
He,1,1252.752,20.0
He,1,1278.479,81.0
He,1,1278.499,50.0
He,1,1279.057,20.0
He,1,1284.596,7.0
He,1,1296.845,10.0
He,1,1298.489,2.0
He,1,1508.364,12.0
He,1,1700.247,200.0
He,1,1868.534,500.0
He,1,1869.723,200.0
He,1,1908.938,100.0
He,1,1954.308,20.0
Li,2,233.688,3.0
Li,2,233.691,5.0
Li,2,233.7,2.0
Li,1,239.439,1.0
Li,1,242.543,3.0
Li,1,247.506,10.0
Li,2,255.17,24.0
Li,1,256.231,15.0
Li,2,265.729,2.0
Li,2,265.73,3.0
Li,2,272.829,5.0
Li,2,272.832,2.0
Li,2,273.047,3.0
Li,2,273.055,1.0
Li,1,274.12,5.0
Li,2,293.402,2.0
Li,2,293.407,2.0
Li,2,293.412,5.0
Li,2,293.425,1.0
Li,2,302.912,3.0
Li,2,302.914,3.0
Li,2,315.531,3.0
Li,2,315.533,4.0
Li,2,319.626,1.0
Li,2,319.633,9.0
Li,2,319.636,4.0
Li,2,319.933,5.0
Li,2,319.943,2.0
Li,1,323.266,17.0
Li,2,371.4,1.0
Li,2,371.416,5.0
Li,2,371.427,6.0
Li,2,371.429,8.0
Li,2,371.44,7.0
Li,2,371.441,10.0
Li,2,371.451,1.0
Li,1,371.87,3.0
Li,1,379.472,6.0
Li,1,391.53,20.0
Li,1,391.535,20.0
Li,1,398.548,10.0
Li,1,398.554,10.0
Li,1,413.256,40.0
